iter	Passed	Remaining
987	66259	804
988	66326	737
989	66392	670
990	66456	603
991	66533	536
992	66591	469
993	66658	402
994	66726	335
995	66785	268
996	66850	201
997	66913	134
998	66994	67
999	67064	0
